State,Year,Measure 1,Measure 2,Format,Value,
New York,2014,Child Fatalities (unique count),Total,Number,114,
New York,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.695732655,
North Carolina,2014,Child Fatalities (unique count),Reported in the Agency File,Number,25,
North Carolina,2014,Child Fatalities (unique count),Total,Number,25,
North Carolina,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.092872765,
North Dakota,2014,Child Fatalities (unique count),Reported in the Child File,Number,2,
North Dakota,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
North Dakota,2014,Child Fatalities (unique count),Total,Number,2,
North Dakota,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.186753458,
Ohio,2014,Child Fatalities (unique count),Reported in the Child File,Number,45,
Ohio,2014,Child Fatalities (unique count),Total,Number,45,
Ohio,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.7056412,
Oklahoma,2014,Child Fatalities (unique count),Reported in the Child File,Number,34,
Oklahoma,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Oklahoma,2014,Child Fatalities (unique count),Total,Number,34,
Oklahoma,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",3.568808197,
Oregon,2014,Child Fatalities (unique count),Reported in the Agency File,Number,13,
Oregon,2014,Child Fatalities (unique count),Total,Number,13,
Oregon,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.515112666,
Pennsylvania,2014,Child Fatalities (unique count),Reported in the Child File,Number,34,
Pennsylvania,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Pennsylvania,2014,Child Fatalities (unique count),Total,Number,34,
Pennsylvania,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.258842909,
Puerto Rico,2014,Child Fatalities (unique count),Reported in the Child File,Number,9,
Puerto Rico,2014,Child Fatalities (unique count),Reported in the Agency File,Number,2,
Puerto Rico,2014,Child Fatalities (unique count),Total,Number,11,
Puerto Rico,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.42348386,
Rhode Island,2014,Child Fatalities (unique count),Reported in the Child File,Number,6,
Rhode Island,2014,Child Fatalities (unique count),Total,Number,6,
Rhode Island,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.818860053,
South Carolina,2014,Child Fatalities (unique count),Reported in the Child File,Number,28,
South Carolina,2014,Child Fatalities (unique count),Reported in the Agency File,Number,4,
South Carolina,2014,Child Fatalities (unique count),Total,Number,32,
South Carolina,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.949993916,
South Dakota,2014,Child Fatalities (unique count),Reported in the Child File,Number,4,
South Dakota,2014,Child Fatalities (unique count),Total,Number,4,
South Dakota,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.901077436,
Tennessee,2014,Child Fatalities (unique count),Reported in the Child File,Number,28,
Tennessee,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Tennessee,2014,Child Fatalities (unique count),Total,Number,28,
Tennessee,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.873503706,
Texas,2014,Child Fatalities (unique count),Reported in the Child File,Number,152,
Texas,2014,Child Fatalities (unique count),Reported in the Agency File,Number,1,
Texas,2014,Child Fatalities (unique count),Total,Number,153,
Texas,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.150200952,
Utah,2014,Child Fatalities (unique count),Reported in the Child File,Number,15,
Utah,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Utah,2014,Child Fatalities (unique count),Total,Number,15,
Utah,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.65908098,
Vermont,2014,Child Fatalities (unique count),Reported in the Child File,Number,1,
Vermont,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Vermont,2014,Child Fatalities (unique count),Total,Number,1,
Vermont,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",0.822463113,
Virginia,2014,Child Fatalities (unique count),Reported in the Child File,Number,36,
Virginia,2014,Child Fatalities (unique count),Reported in the Agency File,Number,1,
Virginia,2014,Child Fatalities (unique count),Total,Number,37,
Virginia,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.97954647,
Washington,2014,Child Fatalities (unique count),Reported in the Agency File,Number,19,
Washington,2014,Child Fatalities (unique count),Total,Number,19,
Washington,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.185483936,
West Virginia,2014,Child Fatalities (unique count),Reported in the Child File,Number,19,
West Virginia,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
West Virginia,2014,Child Fatalities (unique count),Total,Number,19,
West Virginia,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",4.998066537,
Wisconsin,2014,Child Fatalities (unique count),Reported in the Child File,Number,18,
Wisconsin,2014,Child Fatalities (unique count),Total,Number,18,
Wisconsin,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.384414112,
Wyoming,2014,Child Fatalities (unique count),Reported in the Child File,Number,0,
Wyoming,2014,Child Fatalities (unique count),Reported in the Agency File,Number,1,
Wyoming,2014,Child Fatalities (unique count),Total,Number,1,
Wyoming,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",0.722945569,
